[11:19:57] <FROM=ASGNSS#TO=HAB#TEXT=V,#CNT=26#RSSI=-32#>
[11:20:06] <FROM=GSWEA#TO=HAB#TEXT=WD:18,WS:6,WDA:23,WSA:16,H:29,T:21,R:0,P:6516,B:421#CNT=59#RSSI=-71#>
[11:20:09] <FROM=ASGNSS#TO=HAB#TEXT=V,#CNT=27#RSSI=-30#>
[11:20:13] <FROM=ASUI#TO=HAB#TEXT=B:3,X:0,Y:0#CNT=28#RSSI=-37#>
[11:20:21] <FROM=ASGNSS#TO=HAB#TEXT=V,#CNT=29#RSSI=-34#>
[11:20:22] <FROM=ACKAS#TO=HAB#TEXT=fuckin fuck#CNT=30#RSSI=-38#>
[11:20:25] <FROM=ASUI#TO=HAB#TEXT=B:1,X:0,Y:0#CNT=31#RSSI=-38#>
[11:20:29] <FROM=ACKAS#TO=HAB#TEXT=mozecie isc#CNT=32#RSSI=-37#>
[11:20:33] <FROM=ASGNSS#TO=HAB#TEXT=V,#CNT=33#RSSI=-44#>
[11:20:36] <FROM=ASUI#TO=HAB#TEXT=B:2,X:0,Y:0#CNT=34#RSSI=-41#>
[11:20:40] <FROM=ACKHABGS#TO=ASUI#TEXT=B:2,X:0,Y:0#CNT=63#RSSI=-73#>
[11:20:42] <FROM=GSWEA#TO=HAB#TEXT=WD:27,WS:13,WDA:21,WSA:15,H:29,T:22,R:0,P:6515,B:423#CNT=64#RSSI=-73#>
[11:20:45] <FROM=ASGNSS#TO=HAB#TEXT=V,#CNT=35#RSSI=-52#>
[11:20:49] <FROM=ASGNSSGS#TO=HAB#TEXT=V,#CNT=65#RSSI=-73#>
[11:20:54] <FROM=GSWEA#TO=HAB#TEXT=WD:22,WS:13,WDA:21,WSA:14,H:29,T:22,R:0,P:6515,B:423#CNT=66#RSSI=-72#>
[11:20:57] <FROM=ASGNSS#TO=HAB#TEXT=V,#CNT=36#RSSI=-48#>
[11:21:09] <FROM=ASGNSS#TO=HAB#TEXT=V,#CNT=37#RSSI=-53#>
[11:21:17] <FROM=GSWEA#TO=HAB#TEXT=WD:33,WS:13,WDA:21,WSA:11,H:29,T:22,R:0,P:6513,B:423#CNT=69#RSSI=-73#>
[11:21:21] <FROM=ASGNSS#TO=HAB#TEXT=V,#CNT=38#RSSI=-59#>
[11:21:53] <FROM=ASUI#TO=HAB#TEXT=B:4,X:0,Y:0#CNT=41#RSSI=-65#>
[11:21:57] <FROM=ASGNSS#TO=HAB#TEXT=092155.00,N*5E#CNT=42#RSSI=-65#>
[11:22:08] <FROM=ASGNSS#TO=HAB#TEXT=092206.00,N*5B#CNT=43#RSSI=-64#>
[11:22:19] <FROM=ASGNSS#TO=HAB#TEXT=092206.00,N*5B#CNT=43#RSSI=-64#>
[11:22:30] <FROM=ASGNSS#TO=HAB#TEXT=092229.00,N*56#CNT=45#RSSI=-71#>
[11:22:33] <FROM=ASUI#TO=HAB#TEXT=B:4,X:0,Y:0#CNT=46#RSSI=-67#>
[11:22:36] <FROM=ASUI#TO=HAB#TEXT=B:3,X:0,Y:0#CNT=47#RSSI=-66#>
[11:22:38] <FROM=ACKHABGS#TO=ASUI#TEXT=B:3,X:0,Y:0#CNT=82#RSSI=-72#>
[11:22:39] <FROM=ACKAS#TO=HAB#TEXT=zresetujcie gnss#CNT=48#RSSI=-70#>
[11:22:40] <FROM=GSWEA#TO=HAB#TEXT=WD:18,WS:0,WDA:21,WSA:0,H:28,T:0,R:0,P:0,B:423#CNT=83#RSSI=-72#>
[11:22:41] <FROM=ASGNSS#TO=HAB#TEXT=4556.22542,00743.73614#CNT=49#RSSI=-67#>
[11:22:46] <FROM=ACKAS#TO=HAB#TEXT=ok nie#CNT=50#RSSI=-65#>
[11:22:49] <FROM=ACKAS#TO=HAB#TEXT=juz dziala#CNT=51#RSSI=-64#>
[11:22:51] <FROM=ASUI#TO=HAB#TEXT=B:1,X:0,Y:0#CNT=52#RSSI=-62#>
[11:22:52] <FROM=ASGNSS#TO=HAB#TEXT=4556.23445,00743.75474#CNT=53#RSSI=-65#>
[11:22:58] <FROM=ASUI#TO=HAB#TEXT=B:1,X:0,Y:0#CNT=54#RSSI=-70#>
[11:23:14] <FROM=ACKAS#TO=HAB#TEXT=Hello, IGLUNA 2019!#CNT=56#RSSI=-68#>
[11:23:15] <FROM=ASGNSS#TO=HAB#TEXT=4556.22932,00743.76053#CNT=57#RSSI=-68#>
[11:23:15] <FROM=GSWEA#TO=HAB#TEXT=WD:22,WS:6,WDA:21,WSA:11,H:28,T:22,R:0,P:6513,B:423#CNT=90#RSSI=-69#>
[11:23:59] <FROM=ASGNSS#TO=HAB#TEXT=4556.22816,00743.76100#CNT=65#RSSI=-64#>
