[13:44:29] <FROM=HAB#TO=AS#TEXT=siema#>
[13:44:40] <FROM=HAB#TO=AS#TEXT=hi guys#>
[13:45:17] <FROM=HAB#TO=AS#TEXT=i received button 4#>
[13:49:15] <FROM=HAB#TO=AS#TEXT=bania u cygana#>
[13:50:15] <FROM=HAB#TO=AS#TEXT=hello IGLUNA#>
[13:52:09] <FROM=HAB#TO=AS#TEXT=It works!#>
[13:52:23] <FROM=HAB#TO=AS#TEXT=Nice!#>
[13:53:39] <FROM=HAB#TO=AS#TEXT=Hello IGLUNA!#>
[13:53:47] <FROM=HAB#TO=AS#TEXT=:)#>
[13:54:30] <FROM=HAB#TO=AS#TEXT=Hello IGLUNA 2019!#>
[13:54:47] <FROM=HAB#TO=AS#TEXT=:)#>
[13:55:08] <FROM=HAB#TO=AS#TEXT=Hello IGLUNA 2019!#>
[13:55:16] <FROM=HAB#TO=AS#TEXT=Pozdrawiamy TME!#>
[13:56:42] <FROM=HAB#TO=AS#TEXT=Pan Jablko i Pan Gruszka#>
[13:57:24] <FROM=HAB#TO=AS#TEXT=Jan Pawel II         Testowal malych astronautow#>
[13:57:43] <FROM=HAB#TO=AS#TEXT=Jan Pawel II        Testowal astronautow#>
[13:58:28] <FROM=HAB#TO=AS#TEXT=Jan Pawel II        malych astronautow  Testowal#>
[14:01:50] <FROM=HAB#TO=AS#TEXT=Test#>
[14:02:41] <FROM=HAB#TO=AS#TEXT=Got 312 #>
[14:17:06] <FROM=HAB#TO=AS#TEXT=Hey IGLUNA#>
[14:17:27] <FROM=HAB#TO=AS#TEXT=Do you hear me?#>
[14:17:45] <FROM=HAB#TO=AS#TEXT=I received button 1#>
[14:17:55] <FROM=HAB#TO=AS#TEXT=and 2#>
[14:18:57] <FROM=HAB#TO=AS#TEXT=button 1#>
[14:19:10] <FROM=HAB#TO=AS#TEXT=hi guys#>
[14:19:24] <FROM=HAB#TO=AS#TEXT=are you ok?#>
[14:19:52] <FROM=HAB#TO=AS#TEXT=hello IGLUNA!#>
[14:20:18] <FROM=HAB#TO=AS#TEXT=hello IGLUNA!#>
[14:20:35] <FROM=HAB#TO=AS#TEXT=hello IGLUNA!#>
[14:22:35] <FROM=HAB#TO=AS#TEXT=are you ok?#>
[14:23:06] <FROM=HAB#TO=AS#TEXT=do you like IGLUNA project?#>
