[13:02:01] <FROM=GSWEA#TO=HAB#TEXT=WD:18,WS:13,WDA:16,WSA:10,H:27,T:25,R:0,P:6516,B:424#CNT=629#RSSI=-81#>
[13:02:12] <FROM=GSWEA#TO=HAB#TEXT=WD:18,WS:33,WDA:16,WSA:11,H:27,T:25,R:0,P:6516,B:424#CNT=630#RSSI=-79#>
[13:02:24] <FROM=GSWEA#TO=HAB#TEXT=WD:11,WS:13,WDA:16,WSA:12,H:27,T:25,R:0,P:6517,B:423#CNT=631#RSSI=-75#>
[13:02:36] <FROM=GSWEA#TO=HAB#TEXT=WD:18,WS:6,WDA:15,WSA:11,H:27,T:25,R:0,P:6517,B:420#CNT=632#RSSI=-78#>
[13:02:48] <FROM=GSWEA#TO=HAB#TEXT=WD:18,WS:20,WDA:15,WSA:11,H:27,T:25,R:0,P:6516,B:423#CNT=633#RSSI=-77#>
[13:03:00] <FROM=GSWEA#TO=HAB#TEXT=WD:15,WS:6,WDA:15,WSA:11,H:27,T:25,R:0,P:6517,B:423#CNT=634#RSSI=-76#>
[13:03:11] <FROM=GSWEA#TO=HAB#TEXT=WD:13,WS:6,WDA:16,WSA:10,H:27,T:25,R:0,P:6516,B:420#CNT=635#RSSI=-80#>
[13:03:23] <FROM=GSWEA#TO=HAB#TEXT=WD:18,WS:13,WDA:16,WSA:8,H:27,T:25,R:0,P:6516,B:424#CNT=636#RSSI=-80#>
[13:03:35] <FROM=GSWEA#TO=HAB#TEXT=WD:22,WS:13,WDA:16,WSA:8,H:27,T:25,R:0,P:6516,B:424#CNT=637#RSSI=-80#>
[13:03:41] <FROM=ASGNSS#TO=HAB#TEXT=V,#CNT=0#RSSI=-30#>
[13:03:53] <FROM=ASGNSS#TO=HAB#TEXT=V,#CNT=1#RSSI=-29#>
[13:03:58] <FROM=GSWEA#TO=HAB#TEXT=WD:18,WS:13,WDA:17,WSA:10,H:27,T:25,R:0,P:6516,B:423#CNT=640#RSSI=-77#>
[13:04:05] <FROM=ASGNSS#TO=HAB#TEXT=V,#CNT=2#RSSI=-27#>
[13:04:10] <FROM=GSWEA#TO=HAB#TEXT=WD:13,WS:13,WDA:17,WSA:11,H:27,T:25,R:0,P:6516,B:423#CNT=641#RSSI=-77#>
[13:04:18] <FROM=GSWEA#TO=HAB#TEXT=WD:13,WS:13,WDA:17,WSA:11,H:27,T:25,R:0,P:6516,B:423#CNT=641#RSSI=-77#>
[13:04:22] <FROM=GSWEA#TO=HAB#TEXT=WD:18,WS:20,WDA:27,WSA:10,H:27,T:25,R:0,P:6516,B:423#CNT=642#RSSI=-77#>
[13:04:22] <FROM=ASUI#TO=HAB#TEXT=B:4,X:0,Y:0#CNT=4#RSSI=-29#>
[13:04:26] <FROM=ASUIGS#TO=HAB#TEXT=B:4,X:0,Y:0#CNT=643#RSSI=-80#>
[13:04:34] <FROM=GSWEA#TO=HAB#TEXT=WD:22,WS:33,WDA:28,WSA:11,H:27,T:25,R:0,P:6516,B:424#CNT=644#RSSI=-79#>
[13:04:38] <FROM=ACKAS#TO=HAB#TEXT=elon#CNT=5#RSSI=-28#>
[13:04:42] <FROM=ASUI#TO=HAB#TEXT=B:1,X:0,Y:0#CNT=6#RSSI=-28#>
[13:04:46] <FROM=GSWEA#TO=HAB#TEXT=WD:13,WS:13,WDA:28,WSA:12,H:27,T:25,R:0,P:6517,B:424#CNT=645#RSSI=-81#>
[13:04:46] <FROM=ACKHABGS#TO=ASUI#TEXT=B:1,X:0,Y:0#CNT=646#RSSI=-83#>
[13:04:57] <FROM=GSWEA#TO=HAB#TEXT=WD:18,WS:13,WDA:28,WSA:12,H:27,T:25,R:0,P:6517,B:423#CNT=647#RSSI=-79#>
[13:05:09] <FROM=GSWEA#TO=HAB#TEXT=WD:13,WS:6,WDA:27,WSA:12,H:27,T:25,R:0,P:6517,B:423#CNT=648#RSSI=-77#>
[13:05:21] <FROM=GSWEA#TO=HAB#TEXT=WD:9,WS:6,WDA:27,WSA:12,H:27,T:25,R:0,P:6516,B:423#CNT=649#RSSI=-78#>
[13:05:33] <FROM=GSWEA#TO=HAB#TEXT=WD:11,WS:13,WDA:27,WSA:13,H:27,T:25,R:0,P:6516,B:423#CNT=650#RSSI=-79#>
[13:05:45] <FROM=GSWEA#TO=HAB#TEXT=WD:27,WS:40,WDA:27,WSA:13,H:27,T:25,R:0,P:6515,B:423#CNT=651#RSSI=-78#>
[13:05:56] <FROM=GSWEA#TO=HAB#TEXT=WD:13,WS:40,WDA:26,WSA:16,H:27,T:25,R:0,P:6515,B:423#CNT=652#RSSI=-77#>
[13:06:08] <FROM=GSWEA#TO=HAB#TEXT=WD:15,WS:6,WDA:26,WSA:16,H:27,T:25,R:0,P:6515,B:423#CNT=653#RSSI=-77#>
[13:06:20] <FROM=GSWEA#TO=HAB#TEXT=WD:22,WS:13,WDA:16,WSA:16,H:27,T:25,R:0,P:6516,B:424#CNT=654#RSSI=-77#>
[13:06:32] <FROM=GSWEA#TO=HAB#TEXT=WD:9,WS:20,WDA:15,WSA:15,H:27,T:25,R:0,P:6516,B:423#CNT=655#RSSI=-75#>
[13:06:44] <FROM=GSWEA#TO=HAB#TEXT=WD:22,WS:33,WDA:15,WSA:14,H:27,T:25,R:0,P:6516,B:424#CNT=656#RSSI=-77#>
[13:06:55] <FROM=GSWEA#TO=HAB#TEXT=WD:22,WS:20,WDA:16,WSA:15,H:27,T:25,R:0,P:6516,B:424#CNT=657#RSSI=-76#>
[13:07:07] <FROM=GSWEA#TO=HAB#TEXT=WD:18,WS:6,WDA:17,WSA:16,H:27,T:25,R:0,P:6517,B:424#CNT=658#RSSI=-78#>
[13:07:19] <FROM=GSWEA#TO=HAB#TEXT=WD:22,WS:13,WDA:17,WSA:16,H:27,T:25,R:0,P:6517,B:423#CNT=659#RSSI=-79#>
[13:07:31] <FROM=GSWEA#TO=HAB#TEXT=WD:18,WS:13,WDA:17,WSA:16,H:27,T:25,R:0,P:6516,B:423#CNT=660#RSSI=-77#>
[13:07:39] <FROM=ASUI#TO=HAB#TEXT=B:4,X:0,Y:0#CNT=7#RSSI=-75#>
[13:07:43] <FROM=ACKHAB#TO=ASUI#TEXT=B:4,X:0,Y:0#CNT=7#RSSI=-75#>
[13:07:48] <FROM=ASUIGS#TO=HAB#TEXT=B:3,X:0,Y:0#CNT=662#RSSI=-78#>
[13:07:53] <FROM=ACKHABGS#TO=ASUIGS#TEXT=B:3,X:0,Y:0#CNT=663#RSSI=-80#>
[13:07:54] <FROM=ASUI#TO=HAB#TEXT=B:4,X:0,Y:0#CNT=9#RSSI=-80#>
[13:07:54] <FROM=GSWEA#TO=HAB#TEXT=WD:4,WS:13,WDA:16,WSA:11,H:27,T:25,R:0,P:6518,B:420#CNT=664#RSSI=-78#>
[13:07:59] <FROM=ACKHABGS#TO=ASUI#TEXT=B:4,X:0,Y:0#CNT=665#RSSI=-77#>
[13:08:06] <FROM=GSWEA#TO=HAB#TEXT=WD:18,WS:13,WDA:12,WSA:11,H:27,T:25,R:0,P:6517,B:423#CNT=666#RSSI=-77#>
[13:08:18] <FROM=GSWEA#TO=HAB#TEXT=WD:9,WS:0,WDA:20,WSA:0,H:27,T:0,R:0,P:0,B:423#CNT=667#RSSI=-75#>
[13:08:30] <FROM=GSWEA#TO=HAB#TEXT=WD:22,WS:6,WDA:21,WSA:11,H:27,T:25,R:0,P:6517,B:423#CNT=668#RSSI=-77#>
