[11:27:37] <FROM=ASGNSS#TO=HAB#TEXT=4556.19600,00743.77447#CNT=83#RSSI=-67#>
[11:27:40] <FROM=ASGNSS#TO=HAB#TEXT=4556.20553,00743.77143#CNT=7#RSSI=-65#>
[11:27:46] <FROM=ASGNSS#TO=HAB#TEXT=4556.20553,00743.77143#CNT=7#RSSI=-65#>
