[13:34:39] <FROM=HAB#TO=AS#TEXT=Hello, Igluna!!#>
[13:35:07] <FROM=HAB#TO=AS#TEXT=Hello, IGLUNA!#>
[13:35:07] <FROM=HAB#TO=AS#TEXT=#>
[13:35:14] <FROM=HAB#TO=AS#TEXT=Hello, IGLUNA!#>
[13:36:01] <FROM=HAB#TO=AS#TEXT=Got button 3!#>
[13:36:20] <FROM=HAB#TO=AS#TEXT=Hello, IGLUNA!#>
[13:36:39] <FROM=HAB#TO=AS#TEXT=Got button 1!#>
[13:36:58] <FROM=HAB#TO=AS#TEXT=Again got buton 1#>
[13:37:16] <FROM=HAB#TO=AS#TEXT=Hello, IGLUNA 2018/2019!#>
[13:37:47] <FROM=HAB#TO=AS#TEXT=How are you?#>
